date,ref_type,ref_id,product_id,product_name,category,amount_rub,type,notes
2024-01-10,Purchase,PO-240110-01,,,"Материалы",780000,Расход,"Закуп дуб/сосна, металл, краска, масло Osmo; курс вырос +2%"
2024-01-10,Payroll,PR-2401,,,"Зарплаты",520000,Расход,"ФОТ производство+логистика за январь"
2024-01-12,Overhead,OH-2401,,,"Коммунальные/АРЕНДА",220000,Расход,"Колпино+Парнас"
2024-01-25,Sales,INV-240125-01,P001,Стол Loft Nord,"Выручка от продаж",825000,Доход,"Шоурум+онлайн за период 01.07–01.25; включает акцию -10%"
2024-01-25,Sales,INV-240125-02,P003,Стул Steel Oak,"Выручка от продаж",570000,Доход,"Опт/дистрибьютор, СЗФО"
2024-01-25,Logistics,LG-2401,,,"Логистика",150000,Расход,"ДЛ/ПЭК; рост тарифов"
2024-02-10,Payroll,PR-2402,,,"Зарплаты",540000,Расход,"Индексация +3% для сварки/сборки"
2024-02-12,Purchase,PO-240212-01,,,"Материалы",810000,Расход,"Дуб/металл; аванс под весну"
2024-02-24,Logistics,LG-2402,,,"Логистика",160000,Расход,"Рост тарифов перевозчиков"
2024-02-25,Sales,INV-240225-01,P001,Стол Loft Nord,"Выручка от продаж",975000,Доход,"Шоурум+B2B Москва"
2024-02-25,Sales,INV-240225-02,P002,Стол Loft Extend,"Выручка от продаж",360000,Доход,"Опт, Россия"
2024-02-25,Sales,INV-240225-03,P003,Стул Steel Oak,"Выручка от продаж",690000,Доход,"Опт/Проект СЗФО"
2024-03-05,Purchase,PO-240305-01,,,"Материалы",820000,Расход,"Дуб/металл оптом со скидкой"
2024-03-10,Sales,INV-240310-01,P004,Полка WallRack,"Выручка от продаж",192000,Доход,"Онлайн Россия"
2024-03-20,Sales,INV-240320-01,P001,Стол Loft Nord,"Выручка от продаж",1325000,Доход,"Рост B2B контрактов (кафе/коворкинги)"
2024-03-20,Sales,INV-240320-02,P003,Стул Steel Oak,"Выручка от продаж",750000,Доход,"B2B/Опт"
2024-03-25,Overhead,OH-2403,,,"Коммунальные/АРЕНДА",230000,Расход,"Колпино+Парнас"
2024-04-10,Payroll,PR-2404,,,"Зарплаты",560000,Расход,"Набор 2 сварщика, 1 маляр"
2024-04-18,Capex,CX-240418,,,"Капвложения (склад)",420000,Расход,"Расширение склада Парнас"
2024-04-25,Logistics,LG-2404,,,"Логистика",175000,Расход,"Буфер отгрузки, сезонная подготовка"
2024-04-28,Sales,INV-240428-01,P001,Стол Loft Nord,"Выручка от продаж",1150000,Доход,"Опт+розница, Санкт-Петербург/Москва"
2024-05-05,Purchase,PO-240505-01,,,"Материалы",860000,Расход,"Дуб+краска+масло Osmo"
2024-05-20,Sales,INV-240520-01,P002,Стол Loft Extend,"Выручка от продаж",480000,Доход,"Опт Россия"
2024-05-20,Sales,INV-240520-02,P004,Полка WallRack,"Выручка от продаж",210000,Доход,"Онлайн Россия"
2024-06-09,Repair,RPR-240609,,,"Ремонт оборудования",450000,Расход,"Авария покрасочной камеры, простой 10 дней"
2024-06-12,Overhead,OH-2406,,,"Коммунальные/АРЕНДА",230000,Расход,"Простой, доп.расходы"
2024-06-28,Sales,INV-240628-01,P001,Стол Loft Nord,"Выручка от продаж",375000,Доход,"Сезонная просадка из-за простоя"
2024-06-28,Sales,INV-240628-02,P003,Стул Steel Oak,"Выручка от продаж",240000,Доход,"Опт/дистрибьютор"
2024-07-05,Capex,CX-240705,,,"Капвложения (линия сварки)",600000,Расход,"Перестройка линии, повышение производительности"
2024-07-15,Payroll,PR-2407,,,"Зарплаты",560000,Расход,"ФОТ с премиями за внедрение"
2024-07-30,Sales,INV-240730-01,P001,Стол Loft Nord,"Выручка от продаж",980000,Доход,"Отложенный спрос, частичное восстановление"
2024-07-30,Sales,INV-240730-02,P004,Полка WallRack,"Выручка от продаж",144000,Доход,"Онлайн Россия"
2024-09-05,Marketing,MKT-240905,,,"Маркетинг",220000,Расход,"Запуск P007 Coffee Urban, SMM/инфлюенсеры"
2024-09-15,Sales,INV-240915-01,P006,Тумба TV Frame,"Выручка от продаж",300000,Доход,"Розница онлайн"
2024-09-25,Sales,INV-240925-01,P001,Стол Loft Nord,"Выручка от продаж",925000,Доход,"Успешный запуск новинки + B2B контракты"
2024-09-25,Sales,INV-240925-02,P007,Стол Coffee Urban,"Выручка от продаж",288000,Доход,"Шоурум СПб"
2024-10-12,Payroll,PR-2410,,,"Зарплаты",580000,Расход,"Бонусы за выполнение плана в сентябре"
2024-10-20,Sales,INV-241020-01,P001,Стол Loft Nord,"Выручка от продаж",1325000,Доход,"Высокий сезон, шоурум+опт"
2024-10-20,Sales,INV-241020-02,P007,Стол Coffee Urban,"Выручка от продаж",336000,Доход,"Онлайн Россия"
2024-11-06,Logistics,LG-2411,,,"Логистика",190000,Расход,"Пик отгрузок в сезон"
2024-11-20,Sales,INV-241120-01,P006,Тумба TV Frame,"Выручка от продаж",390000,Доход,"Онлайн Россия"
2024-11-20,Sales,INV-241120-02,P004,Полка WallRack,"Выручка от продаж",120000,Доход,"Онлайн Россия"
2024-12-10,Marketing,MKT-241210,,,"Маркетинг",260000,Расход,"Предновогодний маркетинг, комплекты для B2B"
2024-12-20,Sales,INV-241220-01,P001,Стол Loft Nord,"Выручка от продаж",1625000,Доход,"Предновогодний пик"
2024-12-20,Sales,INV-241220-02,P003,Стул Steel Oak,"Выручка от продаж",340000,Доход,"B2B проект"
2024-12-22,Overhead,OH-2412,,,"Коммунальные/АРЕНДА",240000,Расход,"Сезонный рост потребления"
