date,product_id,product_name,quantity_produced,materials_used
2023-01-01,1,Стол,52,Дерево:104kg
2023-01-02,2,Стул,78,Дерево:78kg;Металл:19kg
2023-01-03,3,Шкаф,33,Дерево:165kg
2023-01-04,1,Стол,49,Дерево:98kg
2023-01-05,2,Стул,82,Дерево:82kg;Металл:20kg
2023-01-06,3,Шкаф,36,Дерево:180kg
2023-01-07,1,Стол,55,Дерево:110kg
2023-01-08,2,Стул,76,Дерево:76kg;Металл:19kg
2023-01-09,3,Шкаф,34,Дерево:170kg
2023-01-10,1,Стол,58,Дерево:116kg
2023-01-11,2,Стул,79,Дерево:79kg;Металл:20kg
2023-01-12,3,Шкаф,37,Дерево:185kg
2023-01-13,1,Стол,51,Дерево:102kg
2023-01-14,2,Стул,81,Дерево:81kg;Металл:20kg
2023-01-15,3,Шкаф,35,Дерево:175kg
2023-01-16,1,Стол,57,Дерево:114kg
2023-01-17,2,Стул,77,Дерево:77kg;Металл:19kg
2023-01-18,3,Шкаф,32,Дерево:160kg
2023-01-19,1,Стол,54,Дерево:108kg
2023-01-20,2,Стул,80,Дерево:80kg;Металл:20kg
2023-01-21,3,Шкаф,38,Дерево:190kg
2023-01-22,1,Стол,56,Дерево:112kg
2023-01-23,2,Стул,74,Дерево:74kg;Металл:18kg
2023-01-24,3,Шкаф,31,Дерево:155kg
2023-01-25,1,Стол,60,Дерево:120kg
2023-01-26,2,Стул,83,Дерево:83kg;Металл:21kg
2023-01-27,3,Шкаф,39,Дерево:195kg
2023-01-28,1,Стол,53,Дерево:106kg
2023-01-29,2,Стул,75,Дерево:75kg;Металл:19kg
2023-01-30,3,Шкаф,34,Дерево:170kg
2023-01-31,1,Стол,59,Дерево:118kg
2023-02-01,2,Стул,78,Дерево:78kg;Металл:19kg
2023-02-02,3,Шкаф,33,Дерево:165kg
2023-02-03,1,Стол,50,Дерево:100kg
2023-02-04,2,Стул,82,Дерево:82kg;Металл:20kg
2023-02-05,3,Шкаф,36,Дерево:180kg
2023-02-06,1,Стол,55,Дерево:110kg
2023-02-07,2,Стул,76,Дерево:76kg;Металл:19kg
2023-02-08,3,Шкаф,34,Дерево:170kg
2023-02-09,1,Стол,58,Дерево:116kg
2023-02-10,2,Стул,79,Дерево:79kg;Металл:20kg
2023-02-11,3,Шкаф,37,Дерево:185kg
2023-02-12,1,Стол,51,Дерево:102kg
2023-02-13,2,Стул,81,Дерево:81kg;Металл:20kg
2023-02-14,3,Шкаф,35,Дерево:175kg
2023-02-15,1,Стол,57,Дерево:114kg
2023-02-16,2,Стул,77,Дерево:77kg;Металл:19kg
2023-02-17,3,Шкаф,32,Дерево:160kg
2023-02-18,1,Стол,54,Дерево:108kg
2023-02-19,2,Стул,80,Дерево:80kg;Металл:20kg
2023-02-20,3,Шкаф,38,Дерево:190kg
2023-02-21,1,Стол,56,Дерево:112kg
2023-02-22,2,Стул,74,Дерево:74kg;Металл:18kg
2023-02-23,3,Шкаф,31,Дерево:155kg
2023-02-24,1,Стол,60,Дерево:120kg
2023-02-25,2,Стул,83,Дерево:83kg;Металл:21kg
2023-02-26,3,Шкаф,39,Дерево:195kg
2023-02-27,1,Стол,53,Дерево:106kg
2023-02-28,2,Стул,75,Дерево:75kg;Металл:19kg
2023-03-01,3,Шкаф,34,Дерево:170kg
2023-03-02,1,Стол,59,Дерево:118kg
2023-03-03,2,Стул,78,Дерево:78kg;Металл:19kg
2023-03-04,3,Шкаф,33,Дерево:165kg
2023-03-05,1,Стол,50,Дерево:100kg
2023-03-06,2,Стул,82,Дерево:82kg;Металл:20kg
2023-03-07,3,Шкаф,36,Дерево:180kg
2023-03-08,1,Стол,55,Дерево:110kg
2023-03-09,2,Стул,76,Дерево:76kg;Металл:19kg
2023-03-10,3,Шкаф,34,Дерево:170kg
2023-03-11,1,Стол,58,Дерево:116kg
2023-03-12,2,Стул,79,Дерево:79kg;Металл:20kg
2023-03-13,3,Шкаф,37,Дерево:185kg
2023-03-14,1,Стол,51,Дерево:102kg
2023-03-15,2,Стул,81,Дерево:81kg;Металл:20kg
2023-03-16,3,Шкаф,35,Дерево:175kg
2023-03-17,1,Стол,57,Дерево:114kg
2023-03-18,2,Стул,77,Дерево:77kg;Металл:19kg
2023-03-19,3,Шкаф,32,Дерево:160kg
2023-03-20,1,Стол,54,Дерево:108kg
2023-03-21,2,Стул,80,Дерево:80kg;Металл:20kg
2023-03-22,3,Шкаф,38,Дерево:190kg
2023-03-23,1,Стол,56,Дерево:112kg
2023-03-24,2,Стул,74,Дерево:74kg;Металл:18kg
2023-03-25,3,Шкаф,31,Дерево:155kg
2023-03-26,1,Стол,60,Дерево:120kg
2023-03-27,2,Стул,83,Дерево:83kg;Металл:21kg
2023-03-28,3,Шкаф,39,Дерево:195kg
2023-03-29,1,Стол,53,Дерево:106kg
2023-03-30,2,Стул,75,Дерево:75kg;Металл:19kg
2023-03-31,3,Шкаф,34,Дерево:170kg
2023-04-01,1,Стол,59,Дерево:118kg
2023-04-02,2,Стул,78,Дерево:78kg;Металл:19kg
2023-04-03,3,Шкаф,33,Дерево:165kg
2023-04-04,1,Стол,50,Дерево:100kg
2023-04-05,2,Стул,82,Дерево:82kg;Металл:20kg
2023-04-06,3,Шкаф,36,Дерево:180kg
2023-04-07,1,Стол,55,Дерево:110kg
2023-04-08,2,Стул,76,Дерево:76kg;Металл:19kg
2023-04-09,3,Шкаф,34,Дерево:170kg
2023-04-10,1,Стол,58,Дерево:116kg
2023-04-11,2,Стул,79,Дерево:79kg;Металл:20kg
2023-04-12,3,Шкаф,37,Дерево:185kg
2023-04-13,1,Стол,51,Дерево:102kg
2023-04-14,2,Стул,81,Дерево:81kg;Металл:20kg
2023-04-15,3,Шкаф,35,Дерево:175kg
2023-04-16,1,Стол,57,Дерево:114kg
2023-04-17,2,Стул,77,Дерево:77kg;Металл:19kg
2023-04-18,3,Шкаф,32,Дерево:160kg
2023-04-19,1,Стол,54,Дерево:108kg
2023-04-20,2,Стул,80,Дерево:80kg;Металл:20kg
2023-04-21,3,Шкаф,38,Дерево:190kg
2023-04-22,1,Стол,56,Дерево:112kg
2023-04-23,2,Стул,74,Дерево:74kg;Металл:18kg
2023-04-24,3,Шкаф,31,Дерево:155kg
2023-04-25,1,Стол,60,Дерево:120kg
2023-04-26,2,Стул,83,Дерево:83kg;Металл:21kg
2023-04-27,3,Шкаф,39,Дерево:195kg
2023-04-28,1,Стол,53,Дерево:106kg
2023-04-29,2,Стул,75,Дерево:75kg;Металл:19kg
2023-04-30,3,Шкаф,34,Дерево:170kg
2023-05-01,1,Стол,62,Дерево:124kg
2023-05-05,2,Стул,88,Дерево:88kg;Металл:22kg
2023-05-10,3,Шкаф,41,Дерево:205kg
2023-05-15,1,Стол,66,Дерево:132kg
2023-05-20,2,Стул,90,Дерево:90kg;Металл:23kg
2023-05-25,3,Шкаф,43,Дерево:215kg
2023-05-30,1,Стол,64,Дерево:128kg
2023-06-04,2,Стул,92,Дерево:92kg;Металл:24kg
2023-06-09,3,Шкаф,44,Дерево:220kg
2023-06-14,1,Стол,65,Дерево:130kg
2023-06-19,2,Стул,94,Дерево:94kg;Металл:24kg
2023-06-24,3,Шкаф,45,Дерево:225kg
2023-06-29,1,Стол,67,Дерево:134kg
2023-07-04,2,Стул,96,Дерево:96kg;Металл:25kg
2023-07-09,3,Шкаф,46,Дерево:230kg
2023-07-14,1,Стол,68,Дерево:136kg
2023-07-19,2,Стул,98,Дерево:98kg;Металл:25kg
2023-07-24,3,Шкаф,47,Дерево:235kg
2023-07-29,1,Стол,70,Дерево:140kg
2023-08-03,2,Стул,100,Дерево:100kg;Металл:26kg
2023-08-08,3,Шкаф,48,Дерево:240kg
2023-08-13,1,Стол,71,Дерево:142kg
2023-08-18,2,Стул,102,Дерево:102kg;Металл:26kg
2023-08-23,3,Шкаф,49,Дерево:245kg
2023-08-28,1,Стол,73,Дерево:146kg
2023-09-02,2,Стул,104,Дерево:104kg;Металл:27kg
2023-09-07,3,Шкаф,50,Дерево:250kg
2023-09-12,1,Стол,74,Дерево:148kg
2023-09-17,2,Стул,106,Дерево:106kg;Металл:27kg
2023-09-22,3,Шкаф,51,Дерево:255kg
2023-09-27,1,Стол,76,Дерево:152kg
