date,product_id,quantity_shipped,destination,delivery_time_days
2023-01-03,1,46,Москва,3
2023-01-05,2,74,СПб,4
2023-01-07,3,27,Екатеринбург,5
2023-01-09,1,53,Москва,3
2023-01-11,2,79,СПб,4
2023-01-13,3,32,Екатеринбург,5
2023-01-15,1,49,Москва,3
2023-01-17,2,76,СПб,4
2023-01-19,3,29,Екатеринбург,5
2023-01-21,1,57,Москва,3
2023-01-23,2,81,СПб,4
2023-01-25,3,34,Екатеринбург,5
2023-01-27,1,52,Москва,3
2023-01-29,2,78,СПб,4
2023-01-31,3,31,Екатеринбург,5
2023-02-02,1,59,Москва,3
2023-02-04,2,83,СПб,4
2023-02-06,3,36,Екатеринбург,5
2023-02-08,1,55,Москва,3
2023-02-10,2,80,СПб,4
2023-02-12,3,33,Екатеринбург,5
2023-02-14,1,61,Москва,3
2023-02-16,2,85,СПб,4
2023-02-18,3,37,Екатеринбург,5
2023-02-20,1,56,Москва,3
2023-02-22,2,82,СПб,4
2023-02-24,3,34,Екатеринбург,5
2023-02-26,1,63,Москва,3
2023-02-28,2,87,СПб,4
2023-03-02,3,38,Екатеринбург,5
2023-03-04,1,58,Москва,3
2023-03-06,2,84,СПб,4
2023-03-08,3,35,Екатеринбург,5
2023-03-10,1,64,Москва,3
2023-03-12,2,89,СПб,4
2023-03-14,3,39,Екатеринбург,5
2023-03-16,1,60,Москва,3
2023-03-18,2,86,СПб,4
2023-03-20,3,36,Екатеринбург,5
2023-03-22,1,66,Москва,3
2023-03-24,2,91,СПб,4
2023-03-26,3,40,Екатеринбург,5
2023-03-28,1,62,Москва,3
2023-03-30,2,88,СПб,4
2023-04-01,3,37,Екатеринбург,5
2023-04-03,1,68,Москва,3
2023-04-05,2,93,СПб,4
2023-04-07,3,41,Екатеринбург,5
2023-04-09,1,64,Москва,3
2023-04-11,2,90,СПб,4
2023-04-13,3,38,Екатеринбург,5
2023-04-15,1,70,Москва,3
2023-04-17,2,95,СПб,4
2023-04-19,3,42,Екатеринбург,5
2023-04-21,1,66,Москва,3
2023-04-23,2,92,СПб,4
2023-04-25,3,39,Екатеринбург,5
2023-04-27,1,72,Москва,3
2023-04-29,2,97,СПб,4
2023-05-01,3,43,Екатеринбург,5
2023-05-03,1,68,Москва,3
2023-05-05,2,94,СПб,4
2023-05-07,3,40,Екатеринбург,5
2023-05-09,1,74,Москва,3
2023-05-11,2,99,СПб,4
2023-05-13,3,44,Екатеринбург,5
2023-05-15,1,70,Москва,3
2023-05-17,2,96,СПб,4
2023-05-19,3,41,Екатеринбург,5
2023-05-21,1,76,Москва,3
2023-05-23,2,101,СПб,4
2023-05-25,3,45,Екатеринбург,5
2023-05-27,1,72,Москва,3
2023-05-29,2,98,СПб,4
2023-05-31,3,42,Екатеринбург,5
2023-06-02,1,78,Москва,3
2023-06-04,2,103,СПб,4
2023-06-06,3,46,Екатеринбург,5
2023-06-08,1,74,Москва,3
2023-06-10,2,100,СПб,4
2023-06-12,3,43,Екатеринбург,5
2023-06-14,1,80,Москва,3
2023-06-16,2,105,СПб,4
2023-06-18,3,47,Екатеринбург,5
2023-06-20,1,76,Москва,3
2023-06-22,2,102,СПб,4
2023-06-24,3,44,Екатеринбург,5
2023-06-26,1,82,Москва,3
2023-06-28,2,107,СПб,4
2023-06-30,3,48,Екатеринбург,5
2023-07-02,1,78,Москва,3
2023-07-04,2,104,СПб,4
2023-07-06,3,45,Екатеринбург,5
2023-07-08,1,84,Москва,3
2023-07-10,2,109,СПб,4
2023-07-12,3,49,Екатеринбург,5
2023-07-14,1,80,Москва,3
2023-07-16,2,106,СПб,4
2023-07-18,3,46,Екатеринбург,5
2023-07-20,1,86,Москва,3
2023-07-22,2,111,СПб,4
2023-07-24,3,50,Екатеринбург,5
2023-07-26,1,82,Москва,3
2023-07-28,2,108,СПб,4
2023-07-30,3,47,Екатеринбург,5
2023-08-01,1,88,Москва,3
2023-08-03,2,113,СПб,4
2023-08-05,3,51,Екатеринбург,5
2023-08-07,1,84,Москва,3
2023-08-09,2,110,СПб,4
2023-08-11,3,48,Екатеринбург,5
2023-08-13,1,90,Москва,3
2023-08-15,2,115,СПб,4
2023-08-17,3,52,Екатеринбург,5
2023-08-19,1,86,Москва,3
2023-08-21,2,112,СПб,4
2023-08-23,3,49,Екатеринбург,5
2023-08-25,1,92,Москва,3
2023-08-27,2,117,СПб,4
2023-08-29,3,53,Екатеринбург,5
2023-08-31,1,88,Москва,3
2023-09-02,2,114,СПб,4
2023-09-04,3,50,Екатеринбург,5
2023-09-06,1,94,Москва,3
2023-09-08,2,119,СПб,4
2023-09-10,3,54,Екатеринбург,5
2023-09-12,1,90,Москва,3
2023-09-14,2,116,СПб,4
2023-09-16,3,51,Екатеринбург,5
2023-09-18,1,96,Москва,3
2023-09-20,2,121,СПб,4
2023-09-22,3,55,Екатеринбург,5
2023-09-24,1,92,Москва,3
2023-09-26,2,118,СПб,4
2023-09-28,3,52,Екатеринбург,5
2023-09-30,1,98,Москва,3
2023-10-02,2,123,СПб,4
2023-10-04,3,56,Екатеринбург,5
2023-10-06,1,94,Москва,3
2023-10-08,2,120,СПб,4
2023-10-10,3,53,Екатеринбург,5
2023-10-12,1,100,Москва,3
2023-10-14,2,125,СПб,4
2023-10-16,3,57,Екатеринбург,5
2023-10-18,1,96,Москва,3
2023-10-20,2,122,СПб,4
2023-10-22,3,54,Екатеринбург,5
2023-10-24,1,102,Москва,3
2023-10-26,2,127,СПб,4
2023-10-28,3,58,Екатеринбург,5
2023-10-30,1,98,Москва,3
2023-11-01,2,124,СПб,4
2023-11-03,3,55,Екатеринбург,5
2023-11-05,1,104,Москва,3
2023-11-07,2,129,СПб,4
2023-11-09,3,59,Екатеринбург,5
2023-11-11,1,100,Москва,3
2023-11-13,2,126,СПб,4
2023-11-15,3,56,Екатеринбург,5
2023-11-17,1,106,Москва,3
2023-11-19,2,131,СПб,4
2023-11-21,3,60,Екатеринбург,5
2023-11-23,1,102,Москва,3
2023-11-25,2,128,СПб,4
2023-11-27,3,57,Екатеринбург,5
2023-11-29,1,108,Москва,3
2023-12-01,2,133,СПб,4
2023-12-03,3,61,Екатеринбург,5
2023-12-05,1,104,Москва,3
2023-12-07,2,130,СПб,4
2023-12-09,3,58,Екатеринбург,5
2023-12-11,1,110,Москва,3
2023-12-13,2,135,СПб,4
2023-12-15,3,62,Екатеринбург,5
2023-12-17,1,106,Москва,3
2023-12-19,2,132,СПб,4
2023-12-21,3,59,Екатеринбург,5
2023-12-23,1,112,Москва,3
2023-12-25,2,137,СПб,4
2023-12-27,3,63,Екатеринбург,5
2023-12-29,1,108,Москва,3
2023-12-31,2,134,СПб,4
2024-01-02,3,60,Екатеринбург,5
2024-01-04,1,96,Москва,3
2024-01-06,2,122,СПб,4
2024-01-08,3,55,Екатеринбург,5
2024-01-10,1,102,Москва,3
2024-01-12,2,128,СПб,4
2024-01-14,3,60,Екатеринбург,5
2024-01-16,1,98,Москва,3
2024-01-18,2,124,СПб,4
2024-01-20,3,56,Екатеринбург,5
2024-01-22,1,104,Москва,3
2024-01-24,2,130,СПб,4
2024-01-26,3,61,Екатеринбург,5
2024-01-28,1,100,Москва,3
2024-01-30,2,126,СПб,4
2024-02-01,3,57,Екатеринбург,5
2024-02-03,1,106,Москва,3
2024-02-05,2,132,СПб,4
2024-02-07,3,62,Екатеринбург,5
2024-02-09,1,102,Москва,3
2024-02-11,2,128,СПб,4
2024-02-13,3,58,Екатеринбург,5
2024-02-15,1,108,Москва,3
2024-02-17,2,134,СПб,4
2024-02-19,3,63,Екатеринбург,5
2024-02-21,1,104,Москва,3
2024-02-23,2,130,СПб,4
2024-02-25,3,59,Екатеринбург,5
2024-02-27,1,110,Москва,3
2024-02-29,2,136,СПб,4
2024-03-02,3,64,Екатеринбург,5
2024-03-04,1,106,Москва,3
2024-03-06,2,132,СПб,4
2024-03-08,3,60,Екатеринбург,5
2024-03-10,1,112,Москва,3
2024-03-12,2,138,СПб,4
2024-03-14,3,65,Екатеринбург,5
2024-03-16,1,108,Москва,3
2024-03-18,2,134,СПб,4
2024-03-20,3,61,Екатеринбург,5
2024-03-22,1,114,Москва,3
2024-03-24,2,140,СПб,4
2024-03-26,3,66,Екатеринбург,5
