date,product_id,product_name,quantity_sold,revenue_rub,customer_type,channel,region
2024-01-07,P001,Стол Loft Nord,18,225000,Розница,Шоурум,Санкт-Петербург
2024-01-07,P003,Стул Steel Oak,36,180000,Опт,Дистрибьютор,СЗФО
2024-01-07,P004,Полка WallRack,24,72000,Розница,Онлайн,Россия
2024-01-14,P001,Стол Loft Nord,20,250000,Розница,Шоурум,Санкт-Петербург
2024-01-14,P002,Стол Loft Extend,8,160000,Розница,Онлайн,Россия
2024-01-14,P003,Стул Steel Oak,38,190000,B2B,Дистрибьютор,СЗФО
2024-01-21,P001,Стол Loft Nord,22,275000,Опт,Дистрибьютор,Москва
2024-01-21,P004,Полка WallRack,26,78000,Розница,Онлайн,Россия
2024-01-21,P003,Стул Steel Oak,40,200000,Опт,Дистрибьютор,Москва
2024-01-28,P002,Стол Loft Extend,10,200000,Розница,Шоурум,Санкт-Петербург
2024-01-28,P001,Стол Loft Nord,24,300000,B2B,Проект,Москва
2024-02-04,P003,Стул Steel Oak,42,210000,Опт,Дистрибьютор,Россия
2024-02-04,P004,Полка WallRack,28,84000,Розница,Онлайн,Россия
2024-02-11,P001,Стол Loft Nord,26,325000,Розница,Шоурум,Санкт-Петербург
2024-02-11,P003,Стул Steel Oak,44,220000,B2B,Проект,СЗФО
2024-02-18,P002,Стол Loft Extend,12,240000,Опт,Дистрибьютор,Россия
2024-02-18,P001,Стол Loft Nord,28,350000,B2B,Проект,Москва
2024-02-25,P004,Полка WallRack,30,90000,Розница,Онлайн,Россия
2024-02-25,P003,Стул Steel Oak,46,230000,Опт,Дистрибьютор,Россия
2024-03-03,P001,Стол Loft Nord,30,375000,Розница,Шоурум,Санкт-Петербург
2024-03-03,P002,Стол Loft Extend,14,280000,Опт,Дистрибьютор,Москва
2024-03-03,P003,Стул Steel Oak,48,240000,B2B,Проект,Россия
2024-03-10,P004,Полка WallRack,32,96000,Розница,Онлайн,Россия
2024-03-10,P001,Стол Loft Nord,32,400000,Опт,Дистрибьютор,Москва
2024-03-17,P003,Стул Steel Oak,50,250000,Опт,Дистрибьютор,СЗФО
2024-03-17,P004,Полка WallRack,34,102000,Розница,Онлайн,Россия
2024-03-24,P001,Стол Loft Nord,34,425000,Розница,Шоурум,Санкт-Петербург
2024-03-24,P002,Стол Loft Extend,16,320000,Опт,Дистрибьютор,Россия
2024-03-31,P003,Стул Steel Oak,52,260000,B2B,Проект,Москва
2024-03-31,P004,Полка WallRack,36,108000,Розница,Онлайн,Россия
2024-06-09,P001,Стол Loft Nord,12,150000,Розница,Шоурум,Санкт-Петербург
2024-06-09,P003,Стул Steel Oak,20,100000,Опт,Дистрибьютор,Россия
2024-06-16,P004,Полка WallRack,14,42000,Розница,Онлайн,Россия
2024-06-16,P001,Стол Loft Nord,0,0,Розница,Шоурум,Санкт-Петербург
2024-06-23,P002,Стол Loft Extend,6,120000,Опт,Дистрибьютор,Россия
2024-06-23,P003,Стул Steel Oak,24,120000,B2B,Проект,СЗФО
2024-06-30,P001,Стол Loft Nord,18,225000,Розница,Шоурум,Санкт-Петербург
2024-06-30,P004,Полка WallRack,20,60000,Розница,Онлайн,Россия
2024-07-07,P001,Стол Loft Nord,16,200000,Розница,Шоурум,Санкт-Петербург
2024-07-07,P003,Стул Steel Oak,28,140000,Опт,Дистрибьютор,Россия
2024-07-14,P002,Стол Loft Extend,8,160000,Розница,Онлайн,Россия
2024-07-14,P004,Полка WallRack,22,66000,Розница,Онлайн,Россия
2024-07-21,P001,Стол Loft Nord,20,250000,Опт,Дистрибьютор,Москва
2024-07-21,P003,Стул Steel Oak,30,150000,B2B,Проект,Россия
2024-07-28,P004,Полка WallRack,24,72000,Розница,Онлайн,Россия
2024-07-28,P001,Стол Loft Nord,22,275000,Розница,Шоурум,Санкт-Петербург
2024-09-08,P007,Стол Coffee Urban,24,288000,Розница,Шоурум,Санкт-Петербург
2024-09-08,P001,Стол Loft Nord,36,450000,Опт,Дистрибьютор,Москва
2024-09-15,P006,Тумба TV Frame,20,300000,Розница,Онлайн,Россия
2024-09-15,P003,Стул Steel Oak,44,220000,B2B,Проект,Россия
2024-09-22,P002,Стол Loft Extend,18,360000,Опт,Дистрибьютор,Россия
2024-09-22,P001,Стол Loft Nord,38,475000,Розница,Шоурум,Санкт-Петербург
2024-10-06,P006,Тумба TV Frame,24,360000,B2B,Проект,Москва
2024-10-06,P003,Стул Steel Oak,48,240000,Опт,Дистрибьютор,СЗФО
2024-10-13,P001,Стол Loft Nord,40,500000,Розница,Шоурум,Санкт-Петербург
2024-10-13,P007,Стол Coffee Urban,28,336000,Розница,Онлайн,Россия
2024-11-03,P001,Стол Loft Nord,44,550000,Опт,Дистрибьютор,Москва
2024-11-03,P003,Стул Steel Oak,60,300000,B2B,Проект,Россия
2024-11-10,P006,Тумба TV Frame,26,390000,Розница,Онлайн,Россия
2024-11-10,P004,Полка WallRack,40,120000,Розница,Онлайн,Россия
2024-11-17,P001,Стол Loft Nord,48,600000,Розница,Шоурум,Санкт-Петербург
2024-11-17,P002,Стол Loft Extend,20,400000,Опт,Дистрибьютор,Россия
2024-12-01,P001,Стол Loft Nord,50,625000,B2B,Проект,Москва
2024-12-01,P003,Стул Steel Oak,64,320000,Опт,Дистрибьютор,Россия
2024-12-08,P006,Тумба TV Frame,28,420000,Розница,Онлайн,Россия
2024-12-08,P007,Стол Coffee Urban,32,384000,Розница,Шоурум,Санкт-Петербург
2024-12-15,P002,Стол Loft Extend,22,440000,Опт,Дистрибьютор,Москва
2024-12-15,P004,Полка WallRack,50,150000,Розница,Онлайн,Россия
2024-12-22,P001,Стол Loft Nord,56,700000,Розница,Шоурум,Санкт-Петербург
2024-12-22,P003,Стул Steel Oak,68,340000,B2B,Проект,Россия
