date,product_id,product_name,quantity_produced,materials_used
2024-01-01,P001,Стол Loft Nord,22,"Дуб европейский: 110kg; Профильная труба 40x20: 66m; Порошковая краска: 6kg; Масло Osmo: 2.2kg; Фурнитура Blum: 22 компл."
2024-01-01,P002,Стол Loft Extend,10,"Дуб европейский: 70kg; Листовой металл Ст3: 35m2; Порошковая краска: 4kg; Масло Osmo: 1kg; Фурнитура Blum: 10 компл."
2024-01-01,P003,Стул Steel Oak,40,"Дуб европейский: 80kg; Профильная труба 40x20: 80m; Порошковая краска: 8kg; Крепеж: 400 шт."
2024-01-01,P004,Полка WallRack,30,"Сосна карельская: 60kg; Профильная труба 40x20: 45m; Порошковая краска: 5kg; Крепеж: 300 шт."
2024-01-08,P001,Стол Loft Nord,24,"Дуб европейский: 120kg; Профильная труба 40x20: 72m; Порошковая краска: 6.5kg; Масло Osmo: 2.4kg; Фурнитура Blum: 24 компл."
2024-01-08,P002,Стол Loft Extend,12,"Дуб европейский: 84kg; Листовой металл Ст3: 40m2; Порошковая краска: 4.5kg; Масло Osmo: 1.2kg; Фурнитура Blum: 12 компл."
2024-01-08,P003,Стул Steel Oak,42,"Дуб европейский: 84kg; Профильная труба 40x20: 84m; Порошковая краска: 8.5kg; Крепеж: 420 шт."
2024-01-08,P004,Полка WallRack,32,"Сосна карельская: 64kg; Профильная труба 40x20: 48m; Порошковая краска: 5.2kg; Крепеж: 320 шт."
2024-01-15,P001,Стол Loft Nord,26,"Дуб европейский: 130kg; Профильная труба 40x20: 78m; Порошковая краска: 7kg; Масло Osmo: 2.6kg; Фурнитура Blum: 26 компл."
2024-01-15,P002,Стол Loft Extend,13,"Дуб европейский: 91kg; Листовой металл Ст3: 43m2; Порошковая краска: 4.8kg; Масло Osmo: 1.3kg; Фурнитура Blum: 13 компл."
2024-01-15,P003,Стул Steel Oak,45,"Дуб европейский: 90kg; Профильная труба 40x20: 90m; Порошковая краска: 9kg; Крепеж: 450 шт."
2024-01-15,P004,Полка WallRack,34,"Сосна карельская: 68kg; Профильная труба 40x20: 51m; Порошковая краска: 5.4kg; Крепеж: 340 шт."
2024-01-22,P001,Стол Loft Nord,28,"Дуб европейский: 140kg; Профильная труба 40x20: 84m; Порошковая краска: 7.2kg; Масло Osmo: 2.8kg; Фурнитура Blum: 28 компл."
2024-01-22,P002,Стол Loft Extend,14,"Дуб европейский: 98kg; Листовой металл Ст3: 45m2; Порошковая краска: 5kg; Масло Osmo: 1.4kg; Фурнитура Blum: 14 компл."
2024-01-22,P003,Стул Steel Oak,48,"Дуб европейский: 96kg; Профильная труба 40x20: 96m; Порошковая краска: 9.5kg; Крепеж: 480 шт."
2024-01-22,P004,Полка WallRack,35,"Сосна карельская: 70kg; Профильная труба 40x20: 52m; Порошковая краска: 5.6kg; Крепеж: 350 шт."
2024-01-29,P001,Стол Loft Nord,30,"Дуб европейский: 150kg; Профильная труба 40x20: 90m; Порошковая краска: 7.5kg; Масло Osmo: 3kg; Фурнитура Blum: 30 компл."
2024-01-29,P002,Стол Loft Extend,15,"Дуб европейский: 105kg; Листовой металл Ст3: 48m2; Порошковая краска: 5.2kg; Масло Osmo: 1.5kg; Фурнитура Blum: 15 компл."
2024-01-29,P003,Стул Steel Oak,50,"Дуб европейский: 100kg; Профильная труба 40x20: 100m; Порошковая краска: 10kg; Крепеж: 500 шт."
2024-01-29,P004,Полка WallRack,36,"Сосна карельская: 72kg; Профильная труба 40x20: 54m; Порошковая краска: 5.8kg; Крепеж: 360 шт."
